,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Date UTC
0,Saint Anthony,45.02,-93.22,9.44,28,90,1.5,US,1587507345,2020-04-21 16:15:45
1,Albany,42.6,-73.97,9.0,42,75,8.7,US,1587507192,2020-04-21 16:13:12
2,Birin,26.89,88.07,11.84,53,95,1.18,NP,1587507361,2020-04-21 16:16:01
3,Tiksi,71.69,128.87,-7.2,93,100,0.89,RU,1587507361,2020-04-21 16:16:01
4,Sakakah,29.97,40.21,23.0,40,77,5.1,SA,1587507361,2020-04-21 16:16:01
5,Qaanaaq,77.48,-69.36,-1.6,92,100,4.38,GL,1587507361,2020-04-21 16:16:01
6,Butaritari,3.07,172.79,27.97,79,77,4.8,KI,1587507308,2020-04-21 16:15:08
7,Rikitea,-23.12,-134.97,25.25,73,55,3.3,PF,1587507262,2020-04-21 16:14:22
8,Cape Town,-33.93,18.42,14.44,93,0,1.5,ZA,1587507135,2020-04-21 16:12:15
9,Kudamatsu,34.0,131.87,10.0,39,75,4.1,JP,1587507362,2020-04-21 16:16:02
10,Erenhot,43.65,111.98,-2.24,50,29,3.24,CN,1587507362,2020-04-21 16:16:02
11,Avera,33.19,-82.53,25.0,44,40,5.7,US,1587507362,2020-04-21 16:16:02
12,Soe,-9.86,124.28,19.22,84,52,2.2,ID,1587507363,2020-04-21 16:16:03
13,Atuona,-9.8,-139.03,27.79,68,0,5.75,PF,1587507363,2020-04-21 16:16:03
14,Kaitangata,-46.28,169.85,11.67,80,79,1.79,NZ,1587507363,2020-04-21 16:16:03
15,Boca do Acre,-8.75,-67.4,26.73,80,100,1.13,BR,1587507363,2020-04-21 16:16:03
16,Bambanglipuro,-7.95,110.28,25.68,85,41,2.6,ID,1587507363,2020-04-21 16:16:03
17,Chongoyape,-6.64,-79.39,29.66,43,55,3.23,PE,1587507363,2020-04-21 16:16:03
18,Teknāf,20.86,92.31,24.46,87,18,2.62,BD,1587507364,2020-04-21 16:16:04
19,Hobart,-42.88,147.33,12.22,50,20,7.7,AU,1587507186,2020-04-21 16:13:06
20,Mataura,-46.19,168.86,11.67,94,97,1.79,NZ,1587507364,2020-04-21 16:16:04
21,Lázaro Cárdenas,17.96,-102.2,29.31,51,85,4.06,MX,1587507364,2020-04-21 16:16:04
22,Kyra,49.58,111.98,-7.68,67,25,3.14,RU,1587507364,2020-04-21 16:16:04
23,Gaogou,34.02,119.19,7.51,73,84,1.26,CN,1587507365,2020-04-21 16:16:05
24,Mtsamboro,-12.7,45.07,26.0,78,20,3.6,YT,1587507365,2020-04-21 16:16:05
25,Kangaatsiaq,68.31,-53.46,-0.15,91,5,5.25,GL,1587507365,2020-04-21 16:16:05
26,Guerrero Negro,27.98,-114.06,20.29,57,94,9.85,MX,1587507171,2020-04-21 16:12:51
27,Kropotkin,45.44,40.58,3.73,73,16,2.81,RU,1587507365,2020-04-21 16:16:05
28,Vestmanna,62.16,-7.17,6.0,81,0,3.6,FO,1587507365,2020-04-21 16:16:05
29,Taoudenni,22.68,-3.98,30.64,12,0,3.73,ML,1587507365,2020-04-21 16:16:05
30,Bodden Town,19.28,-81.25,31.0,70,20,6.2,KY,1587507366,2020-04-21 16:16:06
31,Port Alfred,-33.59,26.89,17.78,91,98,0.89,ZA,1587507175,2020-04-21 16:12:55
32,Tiko,4.07,9.37,28.0,88,40,1.0,CM,1587507366,2020-04-21 16:16:06
33,Clyde River,70.47,-68.59,-15.0,77,75,5.1,CA,1587507366,2020-04-21 16:16:06
34,Huarmey,-10.07,-78.15,24.96,60,32,4.21,PE,1587507366,2020-04-21 16:16:06
35,Seymchan,62.88,152.43,-10.15,91,100,1.37,RU,1587507366,2020-04-21 16:16:06
36,Buala,-8.14,159.59,27.66,77,78,1.32,SB,1587507367,2020-04-21 16:16:07
37,Taree,-31.9,152.47,16.67,77,0,1.74,AU,1587507367,2020-04-21 16:16:07
38,Kapaa,22.08,-159.32,28.0,69,40,5.7,US,1587507367,2020-04-21 16:16:07
39,Hamburg,53.55,10.0,12.0,53,0,5.7,DE,1587507202,2020-04-21 16:13:22
40,Zhangjiakou,40.81,114.88,-1.86,49,0,8.09,CN,1587507367,2020-04-21 16:16:07
41,Soligalich,59.08,42.29,2.19,83,94,5.14,RU,1587507367,2020-04-21 16:16:07
42,Goderich,43.75,-81.72,1.67,74,100,11.64,CA,1587507106,2020-04-21 16:11:46
43,Provideniya,64.38,-173.3,-10.0,66,4,1.0,RU,1587507125,2020-04-21 16:12:05
44,Punta Arenas,-53.15,-70.92,10.0,53,89,20.1,CL,1587507341,2020-04-21 16:15:41
45,Ubari,26.59,12.78,23.06,17,0,2.88,LY,1587507368,2020-04-21 16:16:08
46,Lira,2.23,32.91,18.88,67,93,0.96,UG,1587507368,2020-04-21 16:16:08
47,Lebu,-37.62,-73.65,15.45,50,70,4.91,CL,1587507262,2020-04-21 16:14:22
48,Saint-Ambroise,48.55,-71.33,6.11,52,75,7.7,CA,1587507369,2020-04-21 16:16:09
49,Cabo San Lucas,22.89,-109.91,31.0,19,40,5.1,MX,1587507260,2020-04-21 16:14:20
50,Ushuaia,-54.8,-68.3,6.0,81,75,14.9,AR,1587507014,2020-04-21 16:10:14
51,Santa Vitória do Palmar,-33.52,-53.37,19.15,85,1,4.33,BR,1587507369,2020-04-21 16:16:09
52,San Patricio,19.22,-104.7,27.0,83,40,5.1,MX,1587507369,2020-04-21 16:16:09
53,Yar-Sale,66.83,70.83,-0.02,99,100,5.09,RU,1587507369,2020-04-21 16:16:09
54,East London,-33.02,27.91,20.18,87,99,2.82,ZA,1587507369,2020-04-21 16:16:09
55,Iqaluit,63.75,-68.51,-16.0,77,75,11.8,CA,1587507370,2020-04-21 16:16:10
56,Slyudyanka,51.66,103.71,-0.99,64,0,2.25,RU,1587507370,2020-04-21 16:16:10
57,Tual,-5.67,132.75,28.67,73,7,2.42,ID,1587507370,2020-04-21 16:16:10
58,New Norfolk,-42.78,147.06,12.22,67,66,4.02,AU,1587507262,2020-04-21 16:14:22
59,Iracoubo,5.48,-53.2,26.22,85,89,5.13,GF,1587507370,2020-04-21 16:16:10
60,Half Moon Bay,37.46,-122.43,21.67,76,90,6.2,US,1587507371,2020-04-21 16:16:11
61,Saint-Joseph,-21.37,55.62,22.0,73,20,2.1,RE,1587507371,2020-04-21 16:16:11
62,Codrington,-38.27,141.97,12.74,81,85,4.4,AU,1587507371,2020-04-21 16:16:11
63,College,64.86,-147.8,6.11,86,90,2.1,US,1587507371,2020-04-21 16:16:11
64,Metro,-5.11,105.31,24.35,87,33,1.07,ID,1587507371,2020-04-21 16:16:11
65,Avarua,-21.21,-159.78,27.0,78,3,7.7,CK,1587507372,2020-04-21 16:16:12
66,Ancud,-41.87,-73.82,12.0,71,80,2.6,CL,1587507176,2020-04-21 16:12:56
67,Nikolskoye,59.7,30.79,9.0,36,27,5.0,RU,1587507372,2020-04-21 16:16:12
68,Deputatsky,69.3,139.9,-9.03,92,100,0.35,RU,1587507373,2020-04-21 16:16:13
69,Kavieng,-2.57,150.8,28.61,73,100,1.09,PG,1587507373,2020-04-21 16:16:13
70,Santa Rosa,14.31,121.11,28.0,69,20,1.8,PH,1587507374,2020-04-21 16:16:14
71,Port Lincoln,-34.73,135.87,15.0,80,0,1.56,AU,1587507374,2020-04-21 16:16:14
72,Arraial do Cabo,-22.97,-42.03,23.0,83,1,2.1,BR,1587507081,2020-04-21 16:11:21
73,Atkarsk,51.87,45.01,3.35,82,98,6.77,RU,1587507325,2020-04-21 16:15:25
74,Castro,-24.79,-50.01,16.8,52,1,0.5,BR,1587507201,2020-04-21 16:13:21
75,Hambantota,6.12,81.12,27.65,83,100,4.01,LK,1587507374,2020-04-21 16:16:14
76,Geraldton,-28.77,114.6,14.0,93,97,4.6,AU,1587507374,2020-04-21 16:16:14
77,Belaya Gora,68.53,146.42,-6.86,97,92,2.16,RU,1587507375,2020-04-21 16:16:15
78,Taunggyi,20.78,97.03,17.08,33,1,1.36,MM,1587507375,2020-04-21 16:16:15
79,Vaini,-21.2,-175.2,27.0,78,75,4.1,TO,1587507375,2020-04-21 16:16:15
80,Merauke,-8.47,140.33,25.46,90,80,4.39,ID,1587507375,2020-04-21 16:16:15
81,Lere,10.39,8.57,27.7,35,47,1.09,NG,1587507375,2020-04-21 16:16:15
82,Chokurdakh,70.63,147.92,-5.47,97,99,0.61,RU,1587507376,2020-04-21 16:16:16
83,Saskylakh,71.92,114.08,-6.12,97,97,0.65,RU,1587507376,2020-04-21 16:16:16
84,Waipawa,-41.41,175.52,15.56,77,24,9.3,NZ,1587507376,2020-04-21 16:16:16
85,Ihtiman,42.43,23.82,2.78,100,100,0.89,BG,1587507376,2020-04-21 16:16:16
86,Rāvar,31.27,56.81,22.74,30,100,1.47,IR,1587507377,2020-04-21 16:16:17
87,Marsá Maţrūḩ,31.35,27.25,18.0,72,0,3.6,EG,1587507377,2020-04-21 16:16:17
88,Jamestown,42.1,-79.24,-0.56,74,90,10.8,US,1587507377,2020-04-21 16:16:17
89,Urusha,54.05,122.9,-8.42,86,0,2.3,RU,1587507377,2020-04-21 16:16:17
90,Ambilobe,-13.2,49.05,23.05,81,99,2.17,MG,1587507377,2020-04-21 16:16:17
91,Port Blair,11.67,92.75,28.5,72,6,1.42,IN,1587507377,2020-04-21 16:16:17
92,Port Elizabeth,-33.92,25.57,16.0,87,33,4.1,ZA,1587507377,2020-04-21 16:16:17
93,Busselton,-33.65,115.33,16.67,83,97,7.07,AU,1587507378,2020-04-21 16:16:18
94,Namatanai,-3.67,152.43,27.83,74,100,1.35,PG,1587507379,2020-04-21 16:16:19
95,Norman Wells,65.28,-126.83,-5.0,73,75,7.7,CA,1587507380,2020-04-21 16:16:20
96,Mar del Plata,-38.0,-57.56,14.44,67,100,3.1,AR,1587507380,2020-04-21 16:16:20
97,Pisco,-13.7,-76.22,23.0,69,0,8.7,PE,1587507380,2020-04-21 16:16:20
